Date,Open,High,Low,Close,Moving Average 50,Moving Average 15
5/6/2015 10:50:00 AM,540.49,542.75,540.31,541.53,,
5/6/2015 11:00:00 AM,541.53,542.76,541.53,542.31,,
5/6/2015 11:10:00 AM,542.31,543.44,541.67,542.67,,
5/6/2015 11:20:00 AM,542.78,543.1,541.59,542.17,,
5/6/2015 11:30:00 AM,542.17,542.17,541.26,541.66,,
5/6/2015 11:40:00 AM,541.66,541.96,540.57,541.04,,
5/6/2015 11:50:00 AM,541.05,542.36,541.04,541.9,,
5/6/2015 12:00:00 PM,541.9,542.1,541.25,541.45,,
5/6/2015 12:10:00 PM,541.45,541.45,540.19,540.7,,
5/6/2015 12:20:00 PM,540.49,541.12,539.61,541.12,,
5/6/2015 12:30:00 PM,541.12,541.29,539.82,539.95,,
5/6/2015 12:40:00 PM,539.8,540.97,539.6,540.5,,
5/6/2015 12:50:00 PM,540.5,540.5,539,540.01,,
5/6/2015 1:00:00 PM,540.01,540.06,538.34,538.9,,
5/6/2015 1:10:00 PM,538.9,538.9,538.12,538.42,,540.9553
5/6/2015 1:20:00 PM,538.42,538.7,537.9,538.58,,540.7587
5/6/2015 1:30:00 PM,538.7,539.12,536.8,536.8,,540.3914
5/6/2015 1:40:00 PM,536.8,536.98,535.9,536.67,,539.9913
5/6/2015 1:50:00 PM,536.67,536.67,535.15,535.56,,539.5507
5/6/2015 2:00:00 PM,535.56,535.95,534.48,535.82,,539.1613
5/6/2015 2:10:00 PM,535.82,536.22,535.15,535.2,,538.772
5/6/2015 2:20:00 PM,535.2,535.72,534.28,535.64,,538.3547
5/6/2015 2:30:00 PM,535.64,535.71,533.35,534.74,,537.9073
5/6/2015 2:40:00 PM,534.74,534.82,533.12,533.12,,537.402
5/6/2015 2:50:00 PM,533.47,533.59,532.24,533.59,,536.9
5/6/2015 3:00:00 PM,533.59,534.25,532.96,534.02,,536.5047
5/6/2015 3:10:00 PM,533.97,534.55,533.21,533.91,,536.0653
5/6/2015 3:20:00 PM,533.91,533.97,532.43,532.43,,535.56
5/6/2015 3:30:00 PM,532.43,534.24,532.43,534.07,,535.238
5/6/2015 3:40:00 PM,534.07,534.44,533.14,533.94,,534.9393
5/6/2015 3:50:00 PM,534.05,534.69,533.39,534.33,,534.656
5/6/2015 4:00:00 PM,534.31,535.1,533.65,534.92,,534.5306
5/7/2015 9:40:00 AM,535.9,536.65,533.45,535.99,,534.4854
5/7/2015 9:50:00 AM,535.99,538.83,535.99,538.82,,534.7027
5/7/2015 10:00:00 AM,538.82,539.95,538.05,539.17,,534.926
5/7/2015 10:10:00 AM,539.17,540.77,537.53,540.24,,535.262
5/7/2015 10:20:00 AM,540.16,541.77,539.53,540.1,,535.5593
5/7/2015 10:30:00 AM,540.1,540.33,538.79,538.9,,535.8367
5/7/2015 10:40:00 AM,538.9,539.73,537.13,538.79,,536.2147
5/7/2015 10:50:00 AM,538.79,540.15,538.48,538.94,,536.5714
5/7/2015 11:00:00 AM,538.67,540.05,538.23,538.63,,536.8787
5/7/2015 11:10:00 AM,538.63,539.36,537.84,538.2,,537.1647
5/7/2015 11:20:00 AM,537.92,540.75,537.5,540,,537.6693
5/7/2015 11:30:00 AM,540,542.84,539.87,542.53,,538.2333
5/7/2015 11:40:00 AM,542.53,542.56,541.3,541.68,,538.7493
5/7/2015 11:50:00 AM,541.68,542.68,541.55,542.68,,539.306
5/7/2015 12:00:00 PM,542.68,542.84,541.75,542.29,,539.7973
5/7/2015 12:10:00 PM,542.28,542.46,541.62,542.46,,540.2286
5/7/2015 12:20:00 PM,542.46,543.15,542.05,542.78,,540.4927
5/7/2015 12:30:00 PM,542.78,543.16,542.29,542.94,538.6562,540.744
5/7/2015 12:40:00 PM,542.94,543.82,542.92,543.42,538.694,540.956
5/7/2015 12:50:00 PM,543.2,543.45,542.5,542.92,538.7062,541.144
5/7/2015 1:00:00 PM,542.92,543.33,542,542.98,538.7124,541.416
5/7/2015 1:10:00 PM,542.98,543.75,542.22,542.28,538.7146,541.6487
5/7/2015 1:20:00 PM,542.29,542.29,541.61,541.61,538.7136,541.8267
5/7/2015 1:30:00 PM,541.61,541.76,541.07,541.5,538.7228,542.018
5/7/2015 1:40:00 PM,541.5,543,541.5,542.47,538.7342,542.3027
5/7/2015 1:50:00 PM,542.47,542.99,542.13,542.46,538.7544,542.4667
5/7/2015 2:00:00 PM,542.47,542.71,541.81,541.93,538.779,542.4266
5/7/2015 2:10:00 PM,541.86,543.88,541.86,543.22,538.821,542.5294
5/7/2015 2:20:00 PM,543.14,544.45,543.09,543.99,538.9018,542.6166
5/7/2015 2:30:00 PM,543.99,545.2,543.99,544.89,538.9896,542.79
5/7/2015 2:40:00 PM,544.89,545.07,543.75,544.26,539.0746,542.91
5/7/2015 2:50:00 PM,544.26,544.87,543.75,543.85,539.1736,542.9813
5/7/2015 3:00:00 PM,543.76,544.44,543.66,544.18,539.2888,543.064
5/7/2015 3:10:00 PM,544.18,544.34,543.59,543.88,539.3948,543.0947
5/7/2015 3:20:00 PM,543.88,544.01,541.98,542.12,539.5012,543.0413
5/7/2015 3:30:00 PM,542.09,542.56,541.07,541.95,539.6068,542.9727
5/7/2015 3:40:00 PM,541.64,542.08,541.23,541.4,539.7236,542.914
5/7/2015 3:50:00 PM,541.44,542.27,540.93,542.23,539.8518,542.9553
5/7/2015 4:00:00 PM,542.23,543.39,541.74,542.04,539.9886,542.9913
5/8/2015 9:40:00 AM,548.87,551.25,548.05,548.78,540.2514,543.412
5/8/2015 9:50:00 AM,548.98,551.87,548.03,549.56,540.5478,543.8853
5/8/2015 10:00:00 AM,549.56,551.19,549.38,550.7,540.8994,544.47
5/8/2015 10:10:00 AM,550.71,552.15,550.71,551.36,541.2548,545.0127
5/8/2015 10:20:00 AM,551.49,552.8,551.36,551.83,541.611,545.5353
5/8/2015 10:30:00 AM,551.83,552.13,551.41,551.61,541.965,545.9833
5/8/2015 10:40:00 AM,551.61,551.61,549.75,551.48,542.346,546.4647
5/8/2015 10:50:00 AM,551.33,551.85,550.67,550.92,542.683,546.936
5/8/2015 11:00:00 AM,551,551.24,550.38,551.24,543.029,547.4067
5/8/2015 11:10:00 AM,551.24,551.76,550.74,551.21,543.3666,547.8953
5/8/2015 11:20:00 AM,551.12,551.96,550.78,551.96,543.7074,548.5513
5/8/2015 11:30:00 AM,551.96,552.53,550.88,551.21,544.0118,549.1686
5/8/2015 11:40:00 AM,551.44,552.58,551.44,552.18,544.279,549.8873
5/8/2015 11:50:00 AM,552.18,552.21,551.25,552.05,544.5366,550.542
5/8/2015 12:00:00 PM,552.05,552.55,551.15,551.59,544.7636,551.1786
5/8/2015 12:10:00 PM,551.59,552.75,551.41,552.14,545.0044,551.4026
5/8/2015 12:20:00 PM,552.14,552.31,551.63,551.77,545.2618,551.55
5/8/2015 12:30:00 PM,551.77,551.87,550.63,550.67,545.4994,551.548
5/8/2015 12:40:00 PM,550.67,551.11,550.19,550.45,545.7296,551.4874
5/8/2015 12:50:00 PM,550.6,550.87,550.31,550.53,545.9676,551.4007
5/8/2015 1:00:00 PM,550.53,550.99,550.36,550.44,546.2124,551.3227
5/8/2015 1:10:00 PM,550.44,551.48,550.44,551.36,546.4396,551.3147
5/8/2015 1:20:00 PM,551.36,551.88,550.8,551.1,546.611,551.3267
5/8/2015 1:30:00 PM,551.1,551.19,550.56,550.68,546.791,551.2894
5/8/2015 1:40:00 PM,550.68,551.18,550.43,550.76,546.9526,551.2593
5/8/2015 1:50:00 PM,550.76,550.95,550.4,550.76,547.122,551.1793
5/8/2015 2:00:00 PM,550.76,551.04,550.27,550.69,547.2866,551.1447
5/8/2015 2:10:00 PM,550.69,551.03,550.38,550.79,547.4468,551.052
5/8/2015 2:20:00 PM,550.79,550.92,550.16,550.38,547.5956,550.9407
5/8/2015 2:30:00 PM,550.32,550.5,549.83,549.84,547.724,550.824
5/8/2015 2:40:00 PM,549.84,549.98,549.3,549.32,547.852,550.636
5/8/2015 2:50:00 PM,549.32,550.06,549.32,549.73,547.987,550.5
5/8/2015 3:00:00 PM,549.74,549.97,549.19,549.62,548.1338,550.43
5/8/2015 3:10:00 PM,549.6,550,549.36,549.81,548.2978,550.3873
5/8/2015 3:20:00 PM,549.92,549.92,549.37,549.4,548.4558,550.312
5/8/2015 3:30:00 PM,549.38,549.8,549.31,549.75,548.6014,550.266
5/8/2015 3:40:00 PM,549.75,550.04,549.4,549.48,548.7418,550.1407
5/8/2015 3:50:00 PM,549.48,549.89,549.28,549.63,548.8958,550.0427
5/8/2015 4:00:00 PM,549.72,549.83,548.56,548.95,549.0104,549.9273
5/11/2015 9:40:00 AM,548.49,552.78,546.63,551.74,549.1654,549.9927
5/11/2015 9:50:00 AM,551.74,553.37,550.28,551.52,549.298,550.0433
5/11/2015 10:00:00 AM,551.52,551.84,549.41,551.62,549.4452,550.1053
5/11/2015 10:10:00 AM,551.62,551.62,550.14,550.35,549.5752,550.076
5/11/2015 10:20:00 AM,550.36,550.9,549.52,549.52,549.682,550.0187
5/11/2015 10:30:00 AM,549.52,549.91,548.05,548.1,549.7664,549.9026
5/11/2015 10:40:00 AM,548.1,548.27,547.22,548,549.884,549.8146
5/11/2015 10:50:00 AM,548,548.89,547.43,548.72,550.0194,549.7473
5/11/2015 11:00:00 AM,548.72,549.71,548.32,548.56,550.1626,549.6766
5/11/2015 11:10:00 AM,548.56,548.62,547.17,547.79,550.2738,549.542
5/11/2015 11:20:00 AM,547.98,548.73,547.97,548.51,550.4032,549.4827
5/11/2015 11:30:00 AM,548.51,548.67,547.46,547.46,550.3768,549.33
5/11/2015 11:40:00 AM,547.46,547.55,546.75,547.27,550.331,549.1827
5/11/2015 11:50:00 AM,547.23,547.89,547.1,547.86,550.2742,549.0646
